,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnFullCorpusdoc2vec_v100_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,100,-,-,0.8560666666666665,0.7323333333333334,0.10342206516206,0.26,0.1845486656509722
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,Skip-Gram,-,0.8511799999999999,0.6953333333333334,0.1020331763169823,0.24,0.1822228252300371
./results/trainedOnFullCorpusLDAFullCossim-10topics,LDA,Full,Full,10,-,-,-,0.6465199999999999,0.463,0.08007977499105029,0.108,0.14250809843108342
./results/trainedOnFullCorpustfidf_UniBi_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.8685399999999999,0.727,0.10344646459169476,0.24,0.18487375211384868
./results/trainedOnFullCorpusdoc2vec_v300_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,300,-,-,0.8382666666666667,0.6856666666666666,0.10198507387364808,0.23600000000000002,0.18184638058035305
./results/trainedOnFullCorpusBM25PlusFull,BM25,Full,Full,-,-,-,-,0.7005333333333332,0.34,0.04712446185175299,0.052000000000000005,0.08830846559788942
./results/trainedOnFullCorpustrained_cbow_v300_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,300,CBOW,-,0.85914,0.6743333333333333,0.10010800391208452,0.232,0.17932128110826046
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,Skip-Gram,-,0.8561933333333331,0.7423333333333333,0.1028908590631256,0.25999999999999995,0.1837053895563986
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Con_Cossim,Word2Vec,Full,Concepts,-,100,Skip-Gram,-,0.83752,0.7143333333333334,0.10062900201508004,0.244,0.1796703968914207
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-10topics,LDA,Full,Concepts & Relations,10,-,-,-,0.7970199999999997,0.6136666666666666,0.09408511329247142,0.18,0.16830274201726794
./results/trainedOnFullCorpusLDASentCossim-80topics,LDA,Full,Sentences,80,-,-,-,0.2,0.2,0.04,0.04,0.06666666666666668
./results/trainedOnFullCorpusdoc2vec_v300_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,300,-,-,0.8513066666666669,0.7056666666666667,0.10411351852746648,0.252,0.18553623585950588
./results/trainedOnFullCorpustrained_skipGram_v300_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,300,Skip-Gram,-,0.8657733333333333,0.765,0.10742644862204694,0.272,0.19113640639088406
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-20topics,LDA,Full,Concepts & Relations,20,-,-,-,0.61128,0.562,0.117300048911215,0.15200000000000002,0.19682991321434132
./results/trainedOnFullCorpusdoc2vec_v300_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,300,-,-,0.7100066666666666,0.3566666666666667,0.05981707913135206,0.08800000000000001,0.11033830846504088
./results/trainedOnFullCorpusdoc2vec_v100_Full_Full_Cossim,Doc2Vec,Full,Full,-,100,-,-,0.8547866666666667,0.6663333333333332,0.10613744068674733,0.228,0.18882837559988175
./results/trainedOnFullCorpustrained_cbow_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,CBOW,-,0.8559933333333334,0.6293333333333332,0.09655501488828687,0.204,0.1735354414263177
./results/trainedOnFullCorpustfidf_BiTri_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.8442733333333333,0.6746666666666666,0.09731715630223084,0.212,0.17451807520614565
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-40topics,LDA,Full,Concepts & Relations,40,-,-,-,0.6217600000000001,0.509,0.1491110098347682,0.184,0.24053638103406585
./results/trainedOnFullCorpusdoc2vec_v100_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,100,-,-,0.8373,0.6973333333333334,0.10257318061496544,0.244,0.18275768667580392
./results/trainedOnFullCorpustfidf_UniBi_Con,TF-IDF,Full,Concepts,-,-,-,Unigrams and Bigrams,0.87702,0.728,0.10290203016420124,0.228,0.18419248821150688
./results/trainedOnFullCorpusdoc2vec_v100_Full_Sent_Cossim,Doc2Vec,Full,Sentences,-,100,-,-,0.7063133333333333,0.3566666666666667,0.0599180332096142,0.08800000000000001,0.11046508303099564
./results/trainedOnFullCorpusLDASentCossim-10topics,LDA,Full,Sentences,10,-,-,-,0.2,0.2,0.0,0.0,0.0
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Con_Cossim,Word2Vec,Full,Concepts,-,300,Skip-Gram,-,0.8587600000000001,0.7476666666666667,0.10487896039447688,0.256,0.1869286314274621
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,100,Skip-Gram,-,0.8400200000000001,0.6653333333333333,0.09926005934214624,0.228,0.17754115871891873
./results/trainedOnFullCorpusLDAFullCossim-80topics,LDA,Full,Full,80,-,-,-,0.5892066666666667,0.5643333333333334,0.2523826221026995,0.2543333333333333,0.3533921485887083
./results/trainedOnFullCorpusLDAFullCossim-40topics,LDA,Full,Full,40,-,-,-,0.58592,0.5063333333333333,0.22161171116121572,0.241,0.3215891884093625
./results/trainedOnFullCorpusdoc2vec_v200_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,200,-,-,0.8499199999999999,0.6906666666666667,0.10312270623565337,0.24,0.1839289045713231
./results/trainedOnCorpustfidf_BiTri_Sent,TF-IDF,Sentences,Sentences,-,-,-,Bigrams and Trigrams,0.8447199999999999,0.667,0.10014761496268006,0.22,0.17906570607696498
./results/trainedOnCorpustrainedLDAConceptsCossim-10topics,LDA,Concepts,Concepts,10,-,-,-,0.6728000000000002,0.4956666666666666,0.08930632916452795,0.14800000000000002,0.15768219200531752
./results/trainedOnCorpusdoc2vec_v100_Sent_Cossim,Doc2Vec,Sentences,Sentences,-,100,-,-,0.7580666666666667,0.4446666666666667,0.07506371010852289,0.128,0.13660118054957346
./results/trainedOnCorpustrainedLDASentCossim-10topics,LDA,Sentences,Sentences,10,-,-,-,0.7623733333333333,0.45,0.06336566921352918,0.10800000000000004,0.11700621215230535
./results/trainedOnCorpusBM25PlusSent,BM25,Sentences,Sentences,-,-,-,-,0.6962866666666667,0.3913333333333333,0.05580750097073768,0.07200000000000001,0.10333285510770167
./results/trainedOnCorpusdoc2vec_v300_ConRel_Cossim,Doc2Vec,Concepts & Relations,Concepts & Relations,-,300,-,-,0.8524333333333333,0.6806666666666666,0.10466611973324318,0.244,0.18644016365364696
./results/trainedOnCorpustrained_skipGram_v100_Con_Cossim_cossim,Word2Vec,Concepts,Concepts,-,100,Skip-Gram,-,0.86192,0.721,0.10644036809353626,0.26,0.1894812821549076
