,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./resultspreTrained_skipGram_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,Skip-Gram,-,0.7210214845938375,0.4727735760971055,0.14383088270308325,0.276,0.2398216400821047
./resultspreTrained_skipGram_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,Skip-Gram,-,0.7081878057889821,0.4637082166199813,0.14161735894761254,0.268,0.2360345426373745
./resultspreTrained_cbow_v300_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,300,CBOW,-,0.7199183566760038,0.4894481792717087,0.14609484284713348,0.28800000000000003,0.2428978201239007
./resultspreTrained_cbow_v100_FullNoStem_Cossim,Word2Vec,Full (No Stemming),Full (No Stemming),-,100,CBOW,-,0.7101627731092438,0.4673767507002801,0.14142207380924127,0.26,0.2358724265201598
./results/trainedOnFullCorpustrained_cbow_v100_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,100,CBOW,-,0.7502997945845005,0.5231545284780579,0.15091416791273662,0.3,0.25128520838948776
./results/trainedOnFullCorpustfidf_BiTri_Sent,TF-IDF,Full,Sentences,-,-,-,Bigrams and Trigrams,0.7052781512605043,0.4727857142857143,0.13872833637628,0.256,0.2318514514760796
./results/trainedOnFullCorpusBM25PlusSent,BM25,Full,Sentences,-,-,-,-,0.16,0.16,0.0,0.0,0.0
./results/trainedOnFullCorpusLDASentCossim-40topics,LDA,Full,Sentences,40,-,-,-,0.16,0.16,0.02,0.02,0.03555555555555556
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-80topics,LDA,Full,Concepts & Relations,80,-,-,-,0.41941126984126975,0.3553888888888889,0.22113996906826291,0.2533333333333333,0.28958993318777576
./results/trainedOnFullCorpusLDAConceptsCossim-20topics,LDA,Full,Concepts,20,-,-,-,0.5078533613445377,0.3702833800186741,0.1352868809318543,0.19,0.21365759040011625
