,Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,recall@5,mAP,precision@5,f1
./results/trainedOnFullCorpusLDAConceptsCossim-10topics,LDA,Full,Concepts,10,-,-,-,0.5660242857142856,0.33359523809523817,0.1995150058841928,0.285,0.2950347289401133
./results/trainedOnFullCorpusdoc2vec_v100_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,100,-,-,0.6675298412698412,0.4393888888888888,0.1879470481514401,0.392,0.2933107013669024
./results/trainedOnFullCorpustrained_skipGram_v300_Full_Sent_Cossim,Word2Vec,Full,Sentences,-,300,Skip-Gram,-,0.6973158730158731,0.3975952380952381,0.18590059412078352,0.364,0.2935439723033295
./results/trainedOnFullCorpusLDAFullCossim-10topics,LDA,Full,Full,10,-,-,-,0.4879614285714286,0.2766666666666666,0.16045640840906716,0.208,0.2415002604966407
./results/trainedOnFullCorpustfidf_UniBi_ConRel,TF-IDF,Full,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.7354523809523809,0.4439523809523809,0.1982531477139354,0.388,0.3123163460877938
./results/trainedOnFullCorpusdoc2vec_v300_Full_Con_Cossim,Doc2Vec,Full,Concepts,-,300,-,-,0.6688741269841271,0.4387936507936507,0.18566983602183207,0.372,0.2906573677954189
./results/trainedOnFullCorpusBM25PlusFull,BM25,Full,Full,-,-,-,-,0.6166625396825397,0.2734523809523809,0.13317291851024188,0.196,0.21904205582219352
./results/trainedOnFullCorpustrained_cbow_v300_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,300,CBOW,-,0.7395546031746031,0.44857142857142857,0.1931752225267964,0.392,0.3063344198981504
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Full_Cossim,Word2Vec,Full,Full,-,100,Skip-Gram,-,0.7374411111111112,0.43507142857142855,0.1931940358253164,0.3880000000000001,0.3061763246489407
./results/trainedOnFullCorpustrained_skipGram_v100_Full_Con_Cossim,Word2Vec,Full,Concepts,-,100,Skip-Gram,-,0.7100146031746032,0.39865873015873016,0.18260863631853164,0.34,0.2905028520780628
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-10topics,LDA,Full,Concepts & Relations,10,-,-,-,0.5740577777777779,0.3312619047619048,0.17494617708341598,0.28,0.26816737881133096
./results/trainedOnFullCorpusLDASentCossim-80topics,LDA,Full,Sentences,80,-,-,-,0.0976,0.084,0.06044842585429432,0.06,0.074657704833051
./results/trainedOnFullCorpusdoc2vec_v300_Full_ConRel_Cossim,Doc2Vec,Full,Concepts & Relations,-,300,-,-,0.6792685714285713,0.4201507936507937,0.18843814253749916,0.3800000000000001,0.2950308112727261
./results/trainedOnFullCorpustrained_skipGram_v300_Full_ConRel_Cossim,Word2Vec,Full,Concepts & Relations,-,300,Skip-Gram,-,0.7281774603174602,0.4367539682539682,0.19374126106779,0.4,0.3060530525534081
./results/trainedOnFullCorpusLDAConceptsAndRelationsCossim-20topics,LDA,Full,Concepts & Relations,20,-,-,-,0.4137306349206348,0.2976825396825397,0.17774829087047914,0.21,0.2486645255857257
