,,,,,,,Experts Mean,,,,Expert 1,,,,Expert 2,,,,Expert 3,,,
Model,Training Corpus,Evaluation Corpus,Topics,Dimensions,Algorithm,N-Grams,mAR,R@5,mAP,P@5,mAR,R@5,mAP,P@5,mAR,R@5,mAP,P@5,mAR,R@5,mAP,P@5
Word2Vec,Full,Sentences,-,300,Skip-Gram,-,0.653,0.334,0.207,0.376,0.697,0.398,0.186,0.364,0.851,0.695,0.102,0.240,0.710,0.477,0.137,0.272
LDA,Full,Full,10,-,-,-,0.427,0.221,0.180,0.224,0.488,0.277,0.160,0.208,0.647,0.463,0.080,0.108,0.517,0.330,0.110,0.140
TF-IDF,Full,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.676,0.375,0.222,0.404,0.735,0.444,0.198,0.388,0.869,0.727,0.103,0.240,0.718,0.487,0.142,0.276
Doc2Vec,Full,Concepts,-,300,-,-,0.635,0.368,0.215,0.392,0.669,0.439,0.186,0.372,0.838,0.686,0.102,0.236,0.731,0.478,0.148,0.276
BM25,Full,Full,-,-,-,-,0.599,0.262,0.165,0.236,0.617,0.273,0.133,0.196,0.701,0.340,0.047,0.052,0.640,0.304,0.095,0.116
Word2Vec,Full,Concepts & Relations,-,300,CBOW,-,0.701,0.370,0.222,0.408,0.740,0.449,0.193,0.392,0.859,0.674,0.100,0.232,0.753,0.509,0.148,0.288
Word2Vec,Full,Full,-,100,Skip-Gram,-,0.691,0.355,0.217,0.400,0.737,0.435,0.193,0.388,0.856,0.742,0.103,0.260,0.733,0.505,0.145,0.300
Word2Vec,Full,Concepts,-,100,Skip-Gram,-,0.681,0.355,0.212,0.368,0.710,0.399,0.183,0.340,0.838,0.714,0.101,0.244,0.750,0.519,0.147,0.292
LDA,Full,Concepts & Relations,10,-,-,-,0.501,0.273,0.191,0.288,0.574,0.331,0.175,0.280,0.797,0.614,0.094,0.180,0.591,0.393,0.121,0.208
LDA,Full,Sentences,80,-,-,-,0.076,0.063,0.060,0.060,0.098,0.084,0.060,0.060,0.200,0.200,0.040,0.040,0.160,0.160,0.040,0.040
Doc2Vec,Full,Concepts & Relations,-,300,-,-,0.660,0.378,0.224,0.420,0.679,0.420,0.188,0.380,0.851,0.706,0.104,0.252,0.757,0.507,0.156,0.304
Word2Vec,Full,Concepts & Relations,-,300,Skip-Gram,-,0.691,0.373,0.223,0.420,0.728,0.437,0.194,0.400,0.866,0.765,0.107,0.272,0.748,0.516,0.153,0.312
LDA,Full,Concepts & Relations,20,-,-,-,0.352,0.237,0.199,0.234,0.414,0.298,0.178,0.210,0.611,0.562,0.117,0.152,0.435,0.368,0.147,0.182
Doc2Vec,Full,Sentences,-,300,-,-,0.572,0.168,0.156,0.172,0.581,0.193,0.128,0.156,0.710,0.357,0.060,0.088,0.678,0.299,0.103,0.112
Doc2Vec,Full,Full,-,100,-,-,0.671,0.356,0.220,0.388,0.698,0.424,0.194,0.364,0.855,0.666,0.106,0.228,0.732,0.491,0.147,0.284
Word2Vec,Full,Sentences,-,300,CBOW,-,0.667,0.320,0.206,0.340,0.695,0.355,0.180,0.320,0.856,0.629,0.097,0.204,0.725,0.465,0.136,0.256
TF-IDF,Full,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.644,0.334,0.206,0.344,0.689,0.385,0.181,0.328,0.844,0.675,0.097,0.212,0.711,0.445,0.135,0.240
LDA,Full,Concepts & Relations,40,-,-,-,0.374,0.273,0.262,0.302,0.428,0.316,0.248,0.287,0.622,0.509,0.149,0.184,0.478,0.382,0.171,0.215
Doc2Vec,Full,Concepts,-,100,-,-,0.635,0.377,0.216,0.412,0.670,0.444,0.188,0.384,0.837,0.697,0.103,0.244,0.721,0.483,0.146,0.284
TF-IDF,Full,Concepts,-,-,-,Unigrams and Bigrams,0.673,0.360,0.221,0.384,0.731,0.436,0.197,0.376,0.877,0.728,0.103,0.228,0.725,0.473,0.143,0.260
Doc2Vec,Full,Sentences,-,100,-,-,0.572,0.166,0.155,0.168,0.582,0.195,0.128,0.156,0.706,0.357,0.060,0.088,0.674,0.294,0.102,0.108
LDA,Full,Sentences,10,-,-,-,0.075,0.063,0.020,0.020,0.096,0.084,0.020,0.020,0.200,0.200,0.000,0.000,0.160,0.160,0.000,0.000
Word2Vec,Full,Concepts,-,300,Skip-Gram,-,0.685,0.355,0.217,0.392,0.718,0.423,0.187,0.364,0.859,0.748,0.105,0.256,0.752,0.520,0.151,0.304
Word2Vec,Full,Sentences,-,100,Skip-Gram,-,0.656,0.320,0.206,0.356,0.697,0.382,0.184,0.348,0.840,0.665,0.099,0.228,0.714,0.443,0.135,0.252
LDA,Full,Full,80,-,-,-,0.355,0.294,0.381,0.378,0.418,0.359,0.372,0.372,0.589,0.564,0.252,0.254,0.418,0.392,0.277,0.278
LDA,Full,Full,40,-,-,-,0.339,0.265,0.368,0.394,0.388,0.313,0.347,0.370,0.586,0.506,0.222,0.241,0.422,0.338,0.245,0.269
Doc2Vec,Full,Concepts,-,200,-,-,0.645,0.367,0.221,0.400,0.686,0.434,0.190,0.372,0.850,0.691,0.103,0.240,0.738,0.489,0.152,0.292
TF-IDF,Sentences,Sentences,-,-,-,Bigrams and Trigrams,0.622,0.316,0.201,0.324,0.670,0.386,0.180,0.320,0.845,0.667,0.100,0.220,0.692,0.433,0.132,0.232
LDA,Concepts,Concepts,10,-,-,-,0.512,0.287,0.239,0.324,0.557,0.332,0.202,0.288,0.673,0.496,0.089,0.148,0.556,0.352,0.145,0.200
Doc2Vec,Sentences,Sentences,-,100,-,-,0.610,0.198,0.168,0.180,0.637,0.224,0.144,0.172,0.758,0.445,0.075,0.128,0.691,0.325,0.110,0.128
LDA,Sentences,Sentences,10,-,-,-,0.642,0.267,0.169,0.224,0.653,0.284,0.143,0.216,0.762,0.450,0.063,0.108,0.690,0.353,0.100,0.128
BM25,Sentences,Sentences,-,-,-,-,0.566,0.185,0.150,0.172,0.602,0.209,0.128,0.152,0.696,0.391,0.056,0.072,0.595,0.276,0.086,0.092
Doc2Vec,Concepts & Relations,Concepts & Relations,-,300,-,-,0.670,0.347,0.223,0.388,0.700,0.390,0.194,0.356,0.852,0.681,0.105,0.244,0.742,0.479,0.152,0.292
Word2Vec,Concepts,Concepts,-,100,Skip-Gram,-,0.701,0.393,0.225,0.432,0.747,0.486,0.199,0.420,0.862,0.721,0.106,0.260,0.753,0.511,0.150,0.312
Doc2Vec,Concepts,Concepts,-,300,-,-,0.660,0.348,0.216,0.364,0.694,0.400,0.189,0.340,0.857,0.700,0.102,0.236,0.745,0.477,0.146,0.272
Doc2Vec,Concepts,Concepts,-,200,-,-,0.653,0.334,0.214,0.360,0.685,0.407,0.189,0.348,0.846,0.672,0.102,0.224,0.736,0.470,0.146,0.272
Doc2Vec,Sentences,Sentences,-,200,-,-,0.610,0.196,0.168,0.192,0.637,0.224,0.143,0.180,0.760,0.423,0.074,0.128,0.696,0.327,0.110,0.136
Word2Vec,Concepts,Concepts,-,300,CBOW,-,0.695,0.355,0.220,0.404,0.737,0.422,0.189,0.372,0.847,0.684,0.098,0.228,0.745,0.509,0.147,0.296
Word2Vec,Concepts & Relations,Concepts & Relations,-,300,CBOW,-,0.698,0.358,0.220,0.408,0.733,0.436,0.190,0.388,0.863,0.725,0.102,0.244,0.747,0.536,0.150,0.312
LDA,Sentences,Sentences,40,-,-,-,0.678,0.330,0.193,0.292,0.686,0.356,0.154,0.240,0.799,0.537,0.078,0.140,0.762,0.443,0.134,0.212
Word2Vec,Concepts & Relations,Concepts & Relations,-,100,CBOW,-,0.694,0.366,0.221,0.420,0.734,0.450,0.193,0.408,0.860,0.726,0.102,0.248,0.750,0.527,0.150,0.308
Word2Vec,Concepts & Relations,Concepts & Relations,-,300,Skip-Gram,-,0.681,0.381,0.218,0.424,0.730,0.468,0.195,0.416,0.873,0.768,0.109,0.272,0.741,0.528,0.151,0.316
LDA,Concepts & Relations,Concepts & Relations,80,-,-,-,0.356,0.302,0.390,0.444,0.413,0.367,0.365,0.424,0.681,0.640,0.254,0.294,0.477,0.429,0.302,0.342
Doc2Vec,Concepts & Relations,Concepts & Relations,-,200,-,-,0.675,0.344,0.222,0.372,0.703,0.395,0.194,0.352,0.852,0.667,0.104,0.232,0.750,0.461,0.149,0.272
TF-IDF,Concepts,Concepts,-,-,-,Bigrams and Trigrams,0.638,0.395,0.227,0.420,0.698,0.462,0.201,0.400,0.856,0.748,0.105,0.260,0.691,0.507,0.142,0.292
Word2Vec,Concepts,Concepts,-,300,Skip-Gram,-,0.696,0.391,0.223,0.432,0.741,0.480,0.197,0.412,0.858,0.770,0.106,0.272,0.761,0.533,0.151,0.320
BM25,Concepts,Concepts,-,-,-,-,0.598,0.266,0.165,0.244,0.619,0.281,0.135,0.208,0.705,0.340,0.047,0.052,0.640,0.303,0.094,0.112
Doc2Vec,Concepts & Relations,Concepts & Relations,-,100,-,-,0.674,0.323,0.222,0.360,0.703,0.369,0.193,0.332,0.854,0.667,0.104,0.228,0.744,0.457,0.148,0.268
LDA,Concepts & Relations,Concepts & Relations,20,-,-,-,0.407,0.209,0.187,0.211,0.421,0.239,0.165,0.199,0.678,0.487,0.098,0.133,0.525,0.331,0.114,0.144
Word2Vec,Sentences,Sentences,-,100,CBOW,-,0.667,0.323,0.208,0.332,0.695,0.364,0.183,0.320,0.851,0.650,0.096,0.208,0.729,0.457,0.138,0.244
Doc2Vec,Sentences,Sentences,-,300,-,-,0.614,0.194,0.170,0.180,0.638,0.223,0.145,0.172,0.754,0.431,0.073,0.116,0.695,0.310,0.110,0.116
Word2Vec,Sentences,Sentences,-,300,Skip-Gram,-,0.662,0.334,0.209,0.368,0.701,0.408,0.187,0.356,0.846,0.683,0.100,0.228,0.720,0.475,0.139,0.268
TF-IDF,Sentences,Sentences,-,-,-,Unigrams and Bigrams,0.631,0.316,0.195,0.328,0.684,0.367,0.177,0.324,0.856,0.670,0.099,0.224,0.689,0.423,0.127,0.220
BM25,Concepts & Relations,Concepts & Relations,-,-,-,-,0.595,0.266,0.165,0.244,0.617,0.281,0.134,0.208,0.693,0.340,0.046,0.052,0.637,0.304,0.094,0.116
LDA,Concepts,Concepts,40,-,-,-,0.361,0.308,0.326,0.356,0.422,0.375,0.312,0.351,0.681,0.629,0.201,0.230,0.478,0.418,0.216,0.235
LDA,Concepts,Concepts,80,-,-,-,0.280,0.255,0.437,0.465,0.336,0.308,0.437,0.465,0.654,0.643,0.340,0.362,0.415,0.409,0.325,0.345
LDA,Concepts & Relations,Concepts & Relations,10,-,-,-,0.511,0.293,0.185,0.264,0.587,0.362,0.175,0.264,0.686,0.474,0.089,0.152,0.520,0.320,0.112,0.168
LDA,Concepts,Concepts,20,-,-,-,0.409,0.303,0.305,0.333,0.472,0.353,0.281,0.303,0.684,0.625,0.172,0.203,0.493,0.439,0.202,0.235
Word2Vec,Sentences,Sentences,-,100,Skip-Gram,-,0.656,0.337,0.209,0.376,0.697,0.413,0.186,0.364,0.848,0.672,0.100,0.220,0.717,0.468,0.138,0.264
TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Unigrams and Bigrams,0.684,0.376,0.225,0.408,0.744,0.443,0.199,0.388,0.867,0.710,0.104,0.236,0.724,0.492,0.145,0.280
LDA,Concepts & Relations,Concepts & Relations,40,-,-,-,0.376,0.238,0.277,0.289,0.420,0.275,0.249,0.271,0.589,0.465,0.140,0.172,0.441,0.342,0.163,0.198
LDA,Sentences,Sentences,80,-,-,-,0.680,0.310,0.197,0.316,0.703,0.366,0.164,0.288,0.819,0.621,0.083,0.180,0.742,0.422,0.130,0.224
Word2Vec,Concepts,Concepts,-,100,CBOW,-,0.705,0.357,0.225,0.400,0.743,0.431,0.191,0.372,0.856,0.710,0.099,0.236,0.772,0.526,0.154,0.308
TF-IDF,Concepts & Relations,Concepts & Relations,-,-,-,Bigrams and Trigrams,0.637,0.376,0.225,0.408,0.698,0.430,0.202,0.392,0.850,0.742,0.106,0.264,0.683,0.498,0.141,0.292
Word2Vec,Concepts & Relations,Concepts & Relations,-,100,Skip-Gram,-,0.679,0.370,0.221,0.420,0.726,0.437,0.196,0.408,0.858,0.762,0.107,0.268,0.742,0.525,0.152,0.312
TF-IDF,Concepts,Concepts,-,-,-,Unigrams and Bigrams,0.681,0.391,0.226,0.432,0.741,0.467,0.201,0.416,0.875,0.758,0.105,0.256,0.731,0.512,0.147,0.300
Word2Vec,Sentences,Sentences,-,300,CBOW,-,0.662,0.306,0.207,0.336,0.694,0.366,0.183,0.328,0.853,0.632,0.097,0.204,0.726,0.424,0.138,0.236
LDA,Sentences,Sentences,20,-,-,-,0.680,0.245,0.182,0.228,0.683,0.242,0.144,0.184,0.761,0.433,0.063,0.104,0.725,0.353,0.115,0.156
Doc2Vec,Concepts,Concepts,-,100,-,-,0.644,0.324,0.208,0.344,0.675,0.373,0.184,0.328,0.839,0.636,0.100,0.220,0.728,0.460,0.143,0.264
